id, value
Talend Studio.Data Quality.tMelissaDataAddress,441
Talend Studio.Data Quality.MSSql,
Talend Studio.Data Quality.MSSql.tMSSqlInvalidRows,442
Talend Studio.Data Quality.MSSql.tMSSqlValidRows,443
Talend Studio.Data Quality.tMultiPatternCheck,444
Talend Studio.Data Quality.tMySQLInvalidRows,445
Talend Studio.Data Quality.tMySQLValidRows,446
Talend Studio.Data Quality.Oracle,
Talend Studio.Data Quality.Oracle.tOracleInvalidRows,447
Talend Studio.Data Quality.Oracle.tOracleValidRows,448
Talend Studio.Data Quality.tPatternCheck,449
Talend Studio.Data Quality.tPatternExtract,450
Talend Studio.Data Quality.tPatternMasking,451
Talend Studio.Data Quality.tPatternUnmasking,452
Talend Studio.Data Quality.tPersonator,453
Talend Studio.Data Quality.Postgres,
Talend Studio.Data Quality.Postgres.tPostgresqlInvalidRows,454
Talend Studio.Data Quality.Postgres.tPostgresqlValidRows,455
Talend Studio.Data Quality.tQASAddressRow,456
Talend Studio.Data Quality.tQASBatchAddressRow,457
Talend Studio.Data Quality.tRecordMatching,458
Talend Studio.Data Quality.tReplaceList,459
Talend Studio.Data Quality.tReservoirSampling,460
Talend Studio.Data Quality.tRuleSurvivorship,461
Talend Studio.Data Quality.tSchemaComplianceCheck,462
Talend Studio.Data Quality.tStandardizePhoneNumber,463
Talend Studio.Data Quality.tStandardizeRow,464
Talend Studio.Data Quality.tStem,465
Talend Studio.Data Quality.tSurviveFields,466
